text,text_en,cmp_code,eu_code,party_id,year,sentence_id,cmp_code_clean,gpt_migration
"Wir fordern eine differenzierte und transparente Aufstellung in der Weise, dass die Kosten der Zuwanderung im Bundeshaushalt als eigene Position ausgewiesen werden",We call for a differentiated and transparent breakdown in such a way that the costs of immigration are shown as a separate item in the federal budget,414,,41953,2025,41953_2025_616,414,1.0
"energieintensive Branchen wandern ab,","energy-intensive industries are migrating,",402,,41953,2025,41953_2025_944,402,1.0
und wollen den UN-Migrationspakt (Global Compact for Migration) sowie den UN-Flüchtlingspakt (Global Compact on Refugees) aufkündigen.,and want to terminate the UN Global Compact for Migration and the UN Global Compact on Refugees.,601.2,,41953,2025,41953_2025_1087,601.2,1.0
Unsere primären Interessen sind die Verhinderung neuer Massenmigration,Our primary interests are the prevention of new mass migration,601.2,,41953,2025,41953_2025_1120,601.2,1.0
Insbesondere ist die Gewährung von Entwicklungshilfe ausnahmslos an die Bereitschaft der Partnerländer zur Rücknahme ihrer aus Deutschland ausreisepflichtigen Staatsbürger und ihre schnelle und wirksame Kooperation bei der Feststellung der Staatsbürgerschaft bzw. Volkszugehörigkeit zu knüpfen.,"In particular, the granting of development aid must be linked without exception to the willingness of partner countries to take back their citizens who are obliged to leave Germany and to cooperate quickly and effectively in establishing citizenship or ethnicity.",601.2,,41953,2025,41953_2025_1161,601.2,1.0
ASYL- UND MIGRATIONSPOLITIK,ASYLUM AND MIGRATION POLICY,H,,41953,2025,41953_2025_1171,H,1.0
"In den vergangenen Jahrzehnten wurden die politischen Rahmenbedingungen in Deutschland so ausgestaltet, dass das Land zum Hauptanziehungspunkt insbesondere für Armutsmigranten aus dem Nahen und Mittleren Osten sowie aus Afrika geworden ist.","In recent decades, the political framework conditions in Germany have been designed in such a way that the country has become the main point of attraction for poor migrants from the Middle East and Africa in particular.",601.2,,41953,2025,41953_2025_1172,601.2,1.0
Zusätzlich entfalten deutsche Sozialsysteme eine enorme Sogwirkung und setzen gewaltige Migrationsströme in Bewegung.,"In addition, German social systems have an enormous pull effect and set huge migration flows in motion.",601.2,,41953,2025,41953_2025_1173,601.2,1.0
"In Verbindung mit der unverantwortlichen Politik der offenen Grenzen, die die unkontrollierte, millionenfache Zuwanderung noch befeuert, sendet die Bundesregierung damit den Interessen unseres Landes völlig entgegengesetzte Signale aus.","In conjunction with the irresponsible policy of open borders, which is fueling uncontrolled immigration in the millions, the German government is sending out signals that are completely contrary to the interests of our country.",601.2,,41953,2025,41953_2025_1174,601.2,1.0
"Während einige unserer europäischen Nachbarn die Massenzuwanderung massiv eingedämmt haben, bleiben deutsche Politiker weiter untätig.","While some of our European neighbors have massively curbed mass immigration, German politicians continue to remain inactive.",601.2,,41953,2025,41953_2025_1180,601.2,1.0
"Statt das Asylrecht zu reformieren, hat sich die Regierung die Legalisierung der illegalen Einwanderung auf die Fahnen geschrieben.","Instead of reforming asylum law, the government has taken up the cause of legalizing illegal immigration.",601.2,,41953,2025,41953_2025_1181,601.2,1.0
Eine existentielle Frage wie die Zuwanderung muss in freier Selbstbestimmung auf nationaler Ebene entschieden werden.,An existential issue such as immigration must be decided freely at national level.,110,,41953,2025,41953_2025_1182,110,1.0
"Das bedeutet, allein Deutschland entscheidet, wer nach Deutschland kommen darf.",This means that Germany alone decides who is allowed to come to Germany.,110,,41953,2025,41953_2025_1183,110,1.0
Kontrollen und damit verbundene Zurückweisungen an der Grenze müssen als selbstverständliches Recht souveräner Staaten aufgefasst werden.,Controls and the associated rejections at the border must be seen as a self-evident right of sovereign states.,601.2,,41953,2025,41953_2025_1184,601.2,1.0
Die AfD wird eine deutliche Kehrtwende in der bisherigen Migrationspolitik einleiten,The AfD will initiate a clear turnaround in the current migration policy,601.2,,41953,2025,41953_2025_1185,601.2,1.0
Die Freizügigkeitsregelungen innerhalb der EU bleiben davon unberührt.,This will not affect the rules on freedom of movement within the EU.,108,,41953,2025,41953_2025_1187,108,1.0
"Einreisen darf künftig nur noch, wem dies erlaubt ist.","In future, only those who are permitted to do so will be allowed to enter the country.",601.2,,41953,2025,41953_2025_1188,601.2,1.0
"Alle in den letzten Jahren angestoßenen migrationspolitischen Regelungen, die nicht im Interesse Deutschlands liegen, werden zurückgenommen.",All migration policy regulations initiated in recent years that are not in Germany's interests will be withdrawn.,601.2,,41953,2025,41953_2025_1189,601.2,1.0
"Wer kein Bleiberecht besitzt und sich illegal in Deutschland aufhält, wird abgeschoben.",Anyone who does not have the right to stay and is in Germany illegally will be deported.,601.2,,41953,2025,41953_2025_1190,601.2,1.0
Genau in diesem Bereich – im Bereich der Rückführungspolitik – gibt es seit Jahren ein erhebliches Vollzugsdefizit bei der Umsetzung ausländerrechtlich vorgesehener Maßnahmen.,It is precisely in this area - in the area of repatriation policy - that there has been a considerable enforcement deficit in the implementation of measures provided for under immigration law for years.,601.2,,41953,2025,41953_2025_1191,601.2,1.0
"Unser Maßnahmenkatalog zur Umkehr dieses migrationspolitischen Staatsversagens heißt Remigration und umfasst folgende Maßnahmen, die bereits heute der geltenden Rechtslage entsprechen oder sich jedenfalls mittels verfassungskonformer Gesetzesänderungen umsetzen lassen:","Our catalog of measures to reverse this failure of migration policy is called remigration and includes the following measures, which already correspond to the current legal situation or can at least be implemented by means of constitutional amendments to the law:",601.2,,41953,2025,41953_2025_1193,601.2,1.0
Wir werden vollziehbar ausreisepflichtige Personen konsequent abschieben,We will consistently deport people who are required to leave the country,601.2,,41953,2025,41953_2025_1194,601.2,1.0
"und bestehende Fehlanreize (Bürgergeld, Bleiberechte für Ausreisepflichtige, Turboeinbürgerung) abstellen.","and eliminate existing disincentives (citizens' allowance, right to stay for those required to leave the country, turbo naturalization).",601.2,,41953,2025,41953_2025_1195,601.2,1.0
Ebenso werden wir in diesem Zusammenhang Anreize zur freiwilligen Rückkehr ausbauen.,"In this context, we will also expand incentives for voluntary return.",601.2,,41953,2025,41953_2025_1196,601.2,1.0
"Wenn der Fluchtgrund entfällt – wie aktuell in Syrien –, endet der Schutzanspruch, der zeitlich begrenzt ist und keinesfalls eine Anwartschaft auf eine dauerhafte Einwanderung begründet.","If the reason for fleeing no longer applies - as is currently the case in Syria - the entitlement to protection ends, which is limited in time and in no way establishes an entitlement to permanent immigration.",601.2,,41953,2025,41953_2025_1197,601.2,1.0
"Hierin sehen wir ein großes Remigrationspotential, welches auch durch die Herkunftsländer selbst eingefordert wird.","We see great potential for remigration here, which is also demanded by the countries of origin themselves.",601.2,,41953,2025,41953_2025_1199,601.2,1.0
"Ausländische Gefährder, Extremisten und schwere Straftäter werden wir vorrangig zurückführen.","We will prioritize the repatriation of foreign criminals, extremists and serious offenders.",605.1,,41953,2025,41953_2025_1200,605.1,1.0
"Die Ausweisung ausländischer Straftäter insbesondere bei Gewalt-, Drogen- und Sexualdelikten sowie bei der organisierten und Clankriminalität werden wir deutlich erleichtern.","We will make it much easier to deport foreign criminals, especially those involved in violent, drug and sexual offences as well as organized and clan crime.",605.1,,41953,2025,41953_2025_1201,605.1,1.0
Die Remigration ausländischer Straftäter werden wir auch in diesem Zusammenhang deutlich erleichtern.,We will also make it much easier for foreign criminals to repatriate in this context.,605.1,,41953,2025,41953_2025_1204,605.1,1.0
ZUWANDERUNG WIEDER NATIONAL REGELN,REGULATING IMMIGRATION NATIONALLY AGAIN,H,,41953,2025,41953_2025_1205,H,1.0
"Deutsches Recht schließt die Einreise zum Zweck der Asylgewährung aus, sofern Antragsteller aus einem sicheren Drittstaat einreisen.",German law excludes entry for the purpose of asylum if applicants enter from a safe third country.,601.2,,41953,2025,41953_2025_1206,601.2,1.0
Dublin-Rücküberstellungen ins zuständige EU-Ersteinreiseland scheitern meist an der Unwilligkeit dieser EU-Mitgliedstaaten.,Dublin returns to the responsible EU country of first entry usually fail due to the unwillingness of these EU member states.,601.2,,41953,2025,41953_2025_1208,601.2,1.0
In der Realität bleibt deshalb fast jeder auch illegal eingereiste Asylbewerber dauerhaft hier.,"In reality, therefore, almost every asylum seeker who enters the country illegally remains here permanently.",601.2,,41953,2025,41953_2025_1209,601.2,1.0
"Der Verweis auf eine angeblich notwendige Zuständigkeitsüberprüfung für das Asylverfahren greift hierbei ausdrücklich nicht, da diese auch im bereits sicheren, zuvor durchquerten EU-Nachbarstaat möglich wäre.","The reference to an allegedly necessary review of responsibility for the asylum procedure expressly does not apply here, as this would also be possible in the already safe, previously crossed EU neighboring country.",601.2,,41953,2025,41953_2025_1211,601.2,1.0
Maßnahmen zur Aufrechterhaltung der öffentlichen Sicherheit und zum Schutz der inneren Sicherheit haben zudem Vorrang vor den europäischen Vorschriften über das Asyl- und Ausländerrecht.,Measures to maintain public safety and protect internal security also take precedence over European regulations on asylum and aliens law.,605.1,,41953,2025,41953_2025_1212,605.1,1.0
"Hinzu kommt, dass dem Verzicht auf Binnengrenzkontrollen seinerzeit nur unter der Voraussetzung zugestimmt wurde, dass die Außengrenzsicherheit gewährleistet ist","In addition, the waiver of internal border controls was only agreed to at the time on the condition that external border security is guaranteed",605.1,,41953,2025,41953_2025_1213,605.1,1.0
und alle EU-Mitgliedstaaten die Standards für die Durchführung der Asylverfahren und die Dublin-Vorschriften beachten.,and that all EU member states comply with the standards for the implementation of asylum procedures and the Dublin regulations.,108,,41953,2025,41953_2025_1214,108,1.0
Zudem war die Massenmigration in die EU seit 2015 bei Ratifizierung des EU-Vertrages 1993 nicht vorhersehbar.,"In addition, the mass migration into the EU since 2015 was not foreseeable when the EU Treaty was ratified in 1993.",601.2,,41953,2025,41953_2025_1215,601.2,1.0
"Somit ist die Geschäftsgrundlage der europäischen Asylregelung entfallen, weshalb sich für Deutschland keinerlei Verpflichtung in dieser Hinsicht mehr ergibt.","The basis of the European asylum system has therefore ceased to exist, which is why Germany no longer has any obligation in this regard.",110,,41953,2025,41953_2025_1216,110,1.0
"Das „Gemeinsame Europäische Asylsystem“ (GEAS) ist vollständig gescheitert, weshalb wir diesen Irrweg nicht weiterverfolgen werden.","The ""Common European Asylum System"" (CEAS) has failed completely, which is why we will not pursue this misguided path any further.",110,,41953,2025,41953_2025_1217,110,1.0
"Stattdessen werden wir uns – analog zu Dänemark – im Rahmen eines „Opt-Outs“ nicht länger an der gemeinsamen Politik der EU im Bereich Asyl, subsidiärer Schutz und vorübergehender Schutz beteiligen.","Instead, as in Denmark, we will no longer participate in the EU's common policy on asylum, subsidiary protection and temporary protection as part of an opt-out.",110,,41953,2025,41953_2025_1218,110,1.0
"Wir werden stattdessen unsere Grenzen wieder selbst kontrollieren und die Bundespolizei als Grenzbehörde einsetzen, um illegale Einreisen wirksam zu unterbinden und illegal einreisende Personen konsequent an der Grenze zurückweisen zu können.","Instead, we will once again control our borders ourselves and deploy the Federal Police as the border authority in order to effectively prevent illegal entry and consistently turn back illegal immigrants at the border.",601.2,,41953,2025,41953_2025_1219,601.2,1.0
Weiterhin werden wir folgende Maßnahmen unter Beachtung rechtsstaatlicher Standards umsetzen: Einrichtung von Gewahrsamszentren an der Grenze zur Sicherstellung aufenthaltsbeendender Maßnahmen,We will also implement the following measures in compliance with the rule of law: Establishment of detention centers at the border to ensure that measures are taken to terminate residence,601.2,,41953,2025,41953_2025_1222,601.2,1.0
Aufkündigung von UN-Migrations- und UN-Flüchtlingspakt,Termination of the UN Convention on Migration and the UN Refugee Convention,109,,41953,2025,41953_2025_1223,109,1.0
Anstoßen sowohl einer Reform der Genfer Flüchtlingskonvention (GFK) als auch der Europäischen Menschenrechtskonvention (EMRK) mit dem Ziel der Anpassung an aktuelle Gegebenheiten seit 2015,Initiation of a reform of both the Geneva Refugee Convention (GRC) and the European Convention on Human Rights (ECHR) with the aim of adapting them to current circumstances since 2015,601.2,,41953,2025,41953_2025_1224,601.2,1.0
Umwandlung des individuellen Asylrechts hin zu einer institutionellen Garantie oder einer einfachgesetzlichen Regelung,Transformation of the individual right to asylum into an institutional guarantee or a simple legal regulation,601.2,,41953,2025,41953_2025_1225,601.2,1.0
"Der Rechtsanspruch auf Aufnahme zum Zweck des Asylverfahrens wird auf Personen, die unmittelbar und konkret bedroht sind, beschränkt",The legal right to admission for the purpose of the asylum procedure will be limited to persons who are directly and specifically threatened,601.2,,41953,2025,41953_2025_1226,601.2,1.0
ASYLPARADIES DEUTSCHLAND SCHLIESSEN,CLOSING THE ASYLUM PARADISE GERMANY,H,,41953,2025,41953_2025_1227,H,1.0
Deutschland trägt aufgrund seiner Regierungspolitik und ihrer gesetzlichen Auswirkungen seit 2015 die Hauptlast der illegalen Zuwanderung nach Europa.,Germany has borne the brunt of illegal immigration to Europe since 2015 due to its government policy and its legal consequences.,601.2,,41953,2025,41953_2025_1228,601.2,1.0
"Wir werden uns dafür einsetzen, dass Asylverfahren und Anträge auf subsidiären Schutz zukünftig außerhalb Deutschlands gestellt und bearbeitet werden",We will advocate for asylum procedures and applications for subsidiary protection to be filed and processed outside of Germany in the future,601.2,,41953,2025,41953_2025_1230,601.2,1.0
Beantragung von Asyl und einem sonstigen Schutzstatus nur bei nachgewiesener Identität und Staatsangehörigkeit,Application for asylum and other protection status only with proven identity and citizenship,601.2,,41953,2025,41953_2025_1231,601.2,1.0
"Keine pauschalen Zuwanderungskontingente und Umverteilungsquoten, egal ob im nationalstaatlichen, europäischen oder außereuropäischen Rahmen","No blanket immigration quotas and redistribution quotas, regardless of whether in a national, European or non-European context",601.2,,41953,2025,41953_2025_1232,601.2,1.0
Einstellung der freiwilligen Aufnahmeprogramme für Afghanistan,Cessation of voluntary admission programs for Afghanistan,601.2,,41953,2025,41953_2025_1233,601.2,1.0
"Keine Aufnahme von Migranten im Rahmen einer „europäischen Lösung“, die durch Missbrauch der Seenotrettung nach Europa gelangen.","No admission of migrants who arrive in Europe through abuse of sea rescue as part of a ""European solution"".",601.2,,41953,2025,41953_2025_1235,601.2,1.0
"und mit den Maghreb-Staaten Abkommen abschließen, welche die Verbringung von geretteten Migranten in die betreffenden Staaten sicherstellen","and conclude agreements with the Maghreb states, which ensure the return of rescued migrants to the countries concerned",601.2,,41953,2025,41953_2025_1238,601.2,1.0
Wegfall des Asylrechts bei Falschangaben zur Identität im Asylverfahren,Abolition of the right to asylum in the event of false statements regarding identity in the asylum procedure,601.2,,41953,2025,41953_2025_1239,601.2,1.0
Deutliche Ausweitung der Zahl sicherer Herkunftsstaaten,Significant expansion of the number of safe countries of origin,601.2,,41953,2025,41953_2025_1240,601.2,1.0
Bekämpfung des Missbrauchs legal erteilter Visa zum Zweck der Asylantragstellung durch eine Verschärfung der VISA-Verfahren mit den entsprechenden Staaten,Combating the misuse of legally issued visas for the purpose of applying for asylum by tightening up VISA procedures withthe relevant countriesProcedures with the relevant countries,605.1,,41953,2025,41953_2025_1241,605.1,1.0
Verlust des Schutzstatus und Wiedereinreiseverbot nach Reisen von Asyl- und subsidiär Schutzberechtigten in ihr Herkunftsland,Loss of protection status and ban on re-entry after trips by persons entitled to asylum and subsidiary protection to their country of origin Abolition,601.2,,41953,2025,41953_2025_1242,601.2,1.0
Wegfall des grundsätzlichen Nachzugsanspruches für Familienangehörige subsidiär Schutzberechtigter,of the basic right of family members of persons entitled to subsidiary protection to join them in Germany,601.2,,41953,2025,41953_2025_1243,601.2,1.0
Jährliche Prüfung des Fortbestands von Asylgründen,Annual review of the continued existence of grounds for asylum,601.2,,41953,2025,41953_2025_1244,601.2,1.0
Beendigung des Wildwuchses bei der Asylverfahrensberatung und -Betreuung.,Ending the proliferation of asylum procedure advice and support.,601.2,,41953,2025,41953_2025_1245,601.2,1.0
Keine Arbeitserlaubnis außerhalb verpflichtender gemeinnütziger Arbeitsgelegenheiten mehr für Asylantragsteller und abgelehnte Asylbewerber,No more work permits outside of mandatory non-profit work opportunities for asylum applicants and rejected asylum seekers,608.2,,41953,2025,41953_2025_1248,608.2,1.0
Unterbringung in zentralen Aufnahmeeinrichtungen für die Dauer des Asylverfahrens,Accommodation in central reception facilities for the duration of the asylum procedure,601.2,,41953,2025,41953_2025_1249,601.2,1.0
Die Asylverfahren vor den Verwaltungsgerichten werden wir im Rahmen rechtsstaatlicher Möglichkeiten straffen.,We will streamline asylum procedures before the administrative courts within the bounds of the rule of law.,601.2,,41953,2025,41953_2025_1250,601.2,1.0
"Die materiellen Leistungen für Asylbewerber in Deutschland sind, wie internationale Vergleiche zeigen, zu hoch.",International comparisons show that the material benefits for asylum seekers in Germany are too high.,601.2,,41953,2025,41953_2025_1253,601.2,1.0
"Auch abgelehnte und ausreisepflichtige Asylbewerber verursachen durch ihren Aufenthalt Kosten in zweistelliger Milliardenhöhe, die vom Steuer- und Beitragszahler getragen werden müssen.","Rejected asylum seekers who are obliged to leave the country also cause costs in the double-digit billion range due to their stay, which must be borne by taxpayers and contributors.",601.2,,41953,2025,41953_2025_1255,601.2,1.0
"Asylanerkennung führt derzeit zu einer sofortigen Gleichstellung in allen sozialen Sicherungssystemen, ohne jede vorangegangene Eigenleistung.","Recognition of asylum currently leads to immediate equality in all social security systems, without any prior personal contribution.",505,,41953,2025,41953_2025_1256,505,1.0
"Sozialleistungen für Asylbewerber sind nach Möglichkeit als Sachleistungen zu erbringen, ansonsten durch eine Bezahlkarte, sofern die Erbringung von Sachleistungen mit vertretbarem Aufwand nicht möglich ist.","social benefits for asylum seekers should be provided as benefits in kind where possible, otherwise by means of a payment card if the provision of benefits in kind is not possible with reasonable effort.",505,,41953,2025,41953_2025_1260,505,1.0
Leistungskürzungen für Asylbewerber bei Ablehnung von Arbeitsgelegenheiten.,Reduction of benefits for asylum seekers in the event of rejection of work opportunities.,505,,41953,2025,41953_2025_1263,505,1.0
DEUTSCHLAND BRAUCHT EINE UMFASSENDE RÜCKFÜHRUNGSOFFENSIVE,GERMANY NEEDS A COMPREHENSIVE REPATRIATION OFFENSIVE,H,,41953,2025,41953_2025_1264,H,1.0
Das deutsche Rückführungsversagen ist nicht länger hinnehmbar.,Germany's repatriation failure is no longer acceptable.,601.2,,41953,2025,41953_2025_1265,601.2,1.0
Das gilt sowohl für Abschiebungen ins Herkunftsland als auch für Dublin-Rücküberstellungen ins EU-Ersteinreiseland.,This applies both to deportations to the country of origin and to Dublin returns to the EU country of first entry.,601.2,,41953,2025,41953_2025_1266,601.2,1.0
"und ist Ausdruck des fortgesetzten, migrationspolitischen Staatsversagens.",and is an expression of the continued failure of state migration policy.,601.2,,41953,2025,41953_2025_1268,601.2,1.0
"Rückführungsmaßnahmen werden mit Hilfe alter und neuer Bleiberechtsregelungen unterlaufen, der illegale Aufenthalt wird somit also verstetigt.","Return measures are undermined with the help of old and new regulations on the right to stay, thus perpetuating illegal residence.",601.2,,41953,2025,41953_2025_1269,601.2,1.0
"Dem dient auch das vielfach genutzte Instrument der Duldung ausreisepflichtiger Personen, einer Praxis, mit der diese Menschen zum Teil in Form einer Kettenduldung eine sich stets verlängernde Aufenthaltserlaubnis erhalten.","This is also served by the frequently used instrument of toleration of persons obliged to leave the country, a practice by which these people receive a constantly extending residence permit, sometimes in the form of a chain toleration.",601.2,,41953,2025,41953_2025_1270,601.2,1.0
Dabei ist eine Duldung grundsätzlich nur eine Bescheinigung über die vorübergehende Aussetzung der Abschiebung.,"In principle, a tolerated stay is only a certificate of temporary suspension of deportation.",601.2,,41953,2025,41953_2025_1271,601.2,1.0
Keinesfalls aber sollte die Erteilung eine Duldung einen dauerhaften Aufenthalt begründen.,"Under no circumstances, however, should the granting of a tolerated stay permit justify permanent residence.",601.2,,41953,2025,41953_2025_1272,601.2,1.0
"Mit dem neu eingeführten sogenannten Chancen-Aufenthaltsrecht bekamen Geduldete, die mit Stichtag 01. Januar 2022 seit 5 Jahren in Deutschland lebten, gar die Chance, innerhalb von 18 Monaten bei Erfüllung geringster Anforderungen doch noch eine Aufenthaltserlaubnis zu erhalten.","With the newly introduced so-called ""right of residence by opportunity"", tolerated persons who had been living in Germany for 5 years as of January 1, 2022 were even given the opportunity to obtain a residence permit within 18 months if they met the minimum requirements.",601.2,,41953,2025,41953_2025_1273,601.2,1.0
"Als Fazit ist festzuhalten, dass die Grundintention des Aufenthaltsrechts, die Steuerung und Begrenzung des Zuzugs von Ausländern, seit Jahren ins Gegenteil verkehrt und geradezu pervertiert wird.","In conclusion, it should be noted that the basic intention of the right of residence - to control and limit the influx of foreigners - has been reversed and downright perverted for years.",601.2,,41953,2025,41953_2025_1274,601.2,1.0
Dabei entkernen sich verfestigende Aufenthalte abgelehnter Asylbewerber den Sinn des eigentlichen Schutzgedankens fundamental.,"In the process, the entrenched stays of rejected asylum seekers fundamentally undermine the meaning of the actual idea of protection.",601.2,,41953,2025,41953_2025_1275,601.2,1.0
nicht bleibeberechtigte und ausreisepflichtige Personen konsequent abschieben,consistently deport people who are not entitled to stay and who are obliged to leave the country,601.2,,41953,2025,41953_2025_1277,601.2,1.0
konsequente Abschiebung aller ausreisepflichtigen Personen im Sinne einer strikten Anwendung geltenden Rechts,Consistent deportation of all persons obliged to leave the country in the sense of strict application of applicable law,601.2,,41953,2025,41953_2025_1279,601.2,1.0
"Abschaffung aller Bleiberechtsregelungen für ausreisepflichtige Personen, insbesondere auch der Ausbildungs- und Beschäftigungsduldung und des Chancenaufenthaltsrechts","Abolition of all right to stay regulations for persons obliged to leave the country, in particular also the training and employment toleration and the right to residence on the basis of opportunities",601.2,,41953,2025,41953_2025_1280,601.2,1.0
Ersatz der Duldung durch eine Bescheinigung über die Ausreisepflicht,Replacement of the toleration by a certificate of the obligation to leave the country,601.2,,41953,2025,41953_2025_1281,601.2,1.0
"massiver Druck auf nicht rücknahmebereite Herkunftsländer z. B. durch Wirtschaftssanktionen, Aussetzung der Entwicklungshilfe und den Visahebel","Massive pressure on countries of origin that are not willing to accept return, e.g. B. through economic sanctions, suspension of development aid and the visa lever",601.2,,41953,2025,41953_2025_1282,601.2,1.0
Förderung der freiwilligen Rückkehr,Promotion of voluntary return,601.2,,41953,2025,41953_2025_1283,601.2,1.0
Wegfall humanitärer Aufenthaltstitel nach Entfall des Fluchtgrunds,Cancellation of humanitarian residence permits once the reason for flight no longer applies,601.2,,41953,2025,41953_2025_1284,601.2,1.0
