text,text_en,cmp_code,eu_code,party_id,year,sentence_id,cmp_code_clean,gpt_migration,predicted_label
An existential issue such as immigration must be decided freely at national level.,An existential issue such as immigration must be decided freely at national level.,110,,41953,2025,41953_2025_1182,110,1,security
This means that Germany alone decides who is allowed to come to Germany.,This means that Germany alone decides who is allowed to come to Germany.,110,,41953,2025,41953_2025_1183,110,1,cultural
Controls and the associated rejections at the border must be seen as a self-evident right of sovereign states.,Controls and the associated rejections at the border must be seen as a self-evident right of sovereign states.,601.2,,41953,2025,41953_2025_1184,601.2,1,security
The AfD will initiate a clear turnaround in the current migration policy,The AfD will initiate a clear turnaround in the current migration policy,601.2,,41953,2025,41953_2025_1185,601.2,1,security
This will not affect the rules on freedom of movement within the EU.,This will not affect the rules on freedom of movement within the EU.,108,,41953,2025,41953_2025_1187,108,1,security
"In future, only those who are permitted to do so will be allowed to enter the country.","In future, only those who are permitted to do so will be allowed to enter the country.",601.2,,41953,2025,41953_2025_1188,601.2,1,security
All migration policy regulations initiated in recent years that are not in Germany's interests will be withdrawn.,All migration policy regulations initiated in recent years that are not in Germany's interests will be withdrawn.,601.2,,41953,2025,41953_2025_1189,601.2,1,security
Anyone who does not have the right to stay and is in Germany illegally will be deported.,Anyone who does not have the right to stay and is in Germany illegally will be deported.,601.2,,41953,2025,41953_2025_1190,601.2,1,security
It is precisely in this area - in the area of repatriation policy - that there has been a considerable enforcement deficit in the implementation of measures provided for under immigration law for years.,It is precisely in this area - in the area of repatriation policy - that there has been a considerable enforcement deficit in the implementation of measures provided for under immigration law for years.,601.2,,41953,2025,41953_2025_1191,601.2,1,security
"Our catalog of measures to reverse this failure of migration policy is called remigration and includes the following measures, which already correspond to the current legal situation or can at least be implemented by means of constitutional amendments to the law:","Our catalog of measures to reverse this failure of migration policy is called remigration and includes the following measures, which already correspond to the current legal situation or can at least be implemented by means of constitutional amendments to the law:",601.2,,41953,2025,41953_2025_1193,601.2,1,security
We will consistently deport people who are required to leave the country,We will consistently deport people who are required to leave the country,601.2,,41953,2025,41953_2025_1194,601.2,1,security
"and eliminate existing disincentives (citizens' allowance, right to stay for those required to leave the country, turbo naturalization).","and eliminate existing disincentives (citizens' allowance, right to stay for those required to leave the country, turbo naturalization).",601.2,,41953,2025,41953_2025_1195,601.2,1,humanitarian
"In this context, we will also expand incentives for voluntary return.","In this context, we will also expand incentives for voluntary return.",601.2,,41953,2025,41953_2025_1196,601.2,1,economic
"If the reason for fleeing no longer applies - as is currently the case in Syria - the entitlement to protection ends, which is limited in time and in no way establishes an entitlement to permanent immigration.","If the reason for fleeing no longer applies - as is currently the case in Syria - the entitlement to protection ends, which is limited in time and in no way establishes an entitlement to permanent immigration.",601.2,,41953,2025,41953_2025_1197,601.2,1,humanitarian
"We see great potential for remigration here, which is also demanded by the countries of origin themselves.","We see great potential for remigration here, which is also demanded by the countries of origin themselves.",601.2,,41953,2025,41953_2025_1199,601.2,1,economic
"We will prioritize the repatriation of foreign criminals, extremists and serious offenders.","We will prioritize the repatriation of foreign criminals, extremists and serious offenders.",605.1,,41953,2025,41953_2025_1200,605.1,1,security
"We will make it much easier to deport foreign criminals, especially those involved in violent, drug and sexual offences as well as organized and clan crime.","We will make it much easier to deport foreign criminals, especially those involved in violent, drug and sexual offences as well as organized and clan crime.",605.1,,41953,2025,41953_2025_1201,605.1,1,security
We will also make it much easier for foreign criminals to repatriate in this context.,We will also make it much easier for foreign criminals to repatriate in this context.,605.1,,41953,2025,41953_2025_1204,605.1,1,security
REGULATING IMMIGRATION NATIONALLY AGAIN,REGULATING IMMIGRATION NATIONALLY AGAIN,H,,41953,2025,41953_2025_1205,H,1,security
German law excludes entry for the purpose of asylum if applicants enter from a safe third country.,German law excludes entry for the purpose of asylum if applicants enter from a safe third country.,601.2,,41953,2025,41953_2025_1206,601.2,1,humanitarian
Dublin returns to the responsible EU country of first entry usually fail due to the unwillingness of these EU member states.,Dublin returns to the responsible EU country of first entry usually fail due to the unwillingness of these EU member states.,601.2,,41953,2025,41953_2025_1208,601.2,1,security
"In reality, therefore, almost every asylum seeker who enters the country illegally remains here permanently.","In reality, therefore, almost every asylum seeker who enters the country illegally remains here permanently.",601.2,,41953,2025,41953_2025_1209,601.2,1,security
"The reference to an allegedly necessary review of responsibility for the asylum procedure expressly does not apply here, as this would also be possible in the already safe, previously crossed EU neighboring country.","The reference to an allegedly necessary review of responsibility for the asylum procedure expressly does not apply here, as this would also be possible in the already safe, previously crossed EU neighboring country.",601.2,,41953,2025,41953_2025_1211,601.2,1,humanitarian
Measures to maintain public safety and protect internal security also take precedence over European regulations on asylum and aliens law.,Measures to maintain public safety and protect internal security also take precedence over European regulations on asylum and aliens law.,605.1,,41953,2025,41953_2025_1212,605.1,1,security
"In addition, the waiver of internal border controls was only agreed to at the time on the condition that external border security is guaranteed","In addition, the waiver of internal border controls was only agreed to at the time on the condition that external border security is guaranteed",605.1,,41953,2025,41953_2025_1213,605.1,1,security
and that all EU member states comply with the standards for the implementation of asylum procedures and the Dublin regulations.,and that all EU member states comply with the standards for the implementation of asylum procedures and the Dublin regulations.,108,,41953,2025,41953_2025_1214,108,1,humanitarian
"In addition, the mass migration into the EU since 2015 was not foreseeable when the EU Treaty was ratified in 1993.","In addition, the mass migration into the EU since 2015 was not foreseeable when the EU Treaty was ratified in 1993.",601.2,,41953,2025,41953_2025_1215,601.2,1,economic
"The basis of the European asylum system has therefore ceased to exist, which is why Germany no longer has any obligation in this regard.","The basis of the European asylum system has therefore ceased to exist, which is why Germany no longer has any obligation in this regard.",110,,41953,2025,41953_2025_1216,110,1,humanitarian
"The ""Common European Asylum System"" (CEAS) has failed completely, which is why we will not pursue this misguided path any further.","The ""Common European Asylum System"" (CEAS) has failed completely, which is why we will not pursue this misguided path any further.",110,,41953,2025,41953_2025_1217,110,1,humanitarian
"Instead, as in Denmark, we will no longer participate in the EU's common policy on asylum, subsidiary protection and temporary protection as part of an opt-out.","Instead, as in Denmark, we will no longer participate in the EU's common policy on asylum, subsidiary protection and temporary protection as part of an opt-out.",110,,41953,2025,41953_2025_1218,110,1,humanitarian
"Instead, we will once again control our borders ourselves and deploy the Federal Police as the border authority in order to effectively prevent illegal entry and consistently turn back illegal immigrants at the border.","Instead, we will once again control our borders ourselves and deploy the Federal Police as the border authority in order to effectively prevent illegal entry and consistently turn back illegal immigrants at the border.",601.2,,41953,2025,41953_2025_1219,601.2,1,security
We will also implement the following measures in compliance with the rule of law: Establishment of detention centers at the border to ensure that measures are taken to terminate residence,We will also implement the following measures in compliance with the rule of law: Establishment of detention centers at the border to ensure that measures are taken to terminate residence,601.2,,41953,2025,41953_2025_1222,601.2,1,security
Termination of the UN Convention on Migration and the UN Refugee Convention,Termination of the UN Convention on Migration and the UN Refugee Convention,109,,41953,2025,41953_2025_1223,109,1,humanitarian
Initiation of a reform of both the Geneva Refugee Convention (GRC) and the European Convention on Human Rights (ECHR) with the aim of adapting them to current circumstances since 2015,Initiation of a reform of both the Geneva Refugee Convention (GRC) and the European Convention on Human Rights (ECHR) with the aim of adapting them to current circumstances since 2015,601.2,,41953,2025,41953_2025_1224,601.2,1,humanitarian
Transformation of the individual right to asylum into an institutional guarantee or a simple legal regulation,Transformation of the individual right to asylum into an institutional guarantee or a simple legal regulation,601.2,,41953,2025,41953_2025_1225,601.2,1,humanitarian
The legal right to admission for the purpose of the asylum procedure will be limited to persons who are directly and specifically threatened,The legal right to admission for the purpose of the asylum procedure will be limited to persons who are directly and specifically threatened,601.2,,41953,2025,41953_2025_1226,601.2,1,humanitarian
CLOSING THE ASYLUM PARADISE GERMANY,CLOSING THE ASYLUM PARADISE GERMANY,H,,41953,2025,41953_2025_1227,H,1,security
Germany has borne the brunt of illegal immigration to Europe since 2015 due to its government policy and its legal consequences.,Germany has borne the brunt of illegal immigration to Europe since 2015 due to its government policy and its legal consequences.,601.2,,41953,2025,41953_2025_1228,601.2,1,security
We will advocate for asylum procedures and applications for subsidiary protection to be filed and processed outside of Germany in the future,We will advocate for asylum procedures and applications for subsidiary protection to be filed and processed outside of Germany in the future,601.2,,41953,2025,41953_2025_1230,601.2,1,humanitarian
Application for asylum and other protection status only with proven identity and citizenship,Application for asylum and other protection status only with proven identity and citizenship,601.2,,41953,2025,41953_2025_1231,601.2,1,humanitarian
"No blanket immigration quotas and redistribution quotas, regardless of whether in a national, European or non-European context","No blanket immigration quotas and redistribution quotas, regardless of whether in a national, European or non-European context",601.2,,41953,2025,41953_2025_1232,601.2,1,cultural
Cessation of voluntary admission programs for Afghanistan,Cessation of voluntary admission programs for Afghanistan,601.2,,41953,2025,41953_2025_1233,601.2,1,cultural
"No admission of migrants who arrive in Europe through abuse of sea rescue as part of a ""European solution"".","No admission of migrants who arrive in Europe through abuse of sea rescue as part of a ""European solution"".",601.2,,41953,2025,41953_2025_1235,601.2,1,humanitarian
"and conclude agreements with the Maghreb states, which ensure the return of rescued migrants to the countries concerned","and conclude agreements with the Maghreb states, which ensure the return of rescued migrants to the countries concerned",601.2,,41953,2025,41953_2025_1238,601.2,1,humanitarian
Abolition of the right to asylum in the event of false statements regarding identity in the asylum procedure,Abolition of the right to asylum in the event of false statements regarding identity in the asylum procedure,601.2,,41953,2025,41953_2025_1239,601.2,1,humanitarian
Significant expansion of the number of safe countries of origin,Significant expansion of the number of safe countries of origin,601.2,,41953,2025,41953_2025_1240,601.2,1,security
Combating the misuse of legally issued visas for the purpose of applying for asylum by tightening up VISA procedures withthe relevant countriesProcedures with the relevant countries,Combating the misuse of legally issued visas for the purpose of applying for asylum by tightening up VISA procedures withthe relevant countriesProcedures with the relevant countries,605.1,,41953,2025,41953_2025_1241,605.1,1,security
Loss of protection status and ban on re-entry after trips by persons entitled to asylum and subsidiary protection to their country of origin Abolition,Loss of protection status and ban on re-entry after trips by persons entitled to asylum and subsidiary protection to their country of origin Abolition,601.2,,41953,2025,41953_2025_1242,601.2,1,humanitarian
of the basic right of family members of persons entitled to subsidiary protection to join them in Germany,of the basic right of family members of persons entitled to subsidiary protection to join them in Germany,601.2,,41953,2025,41953_2025_1243,601.2,1,humanitarian
Annual review of the continued existence of grounds for asylum,Annual review of the continued existence of grounds for asylum,601.2,,41953,2025,41953_2025_1244,601.2,1,humanitarian
Ending the proliferation of asylum procedure advice and support.,Ending the proliferation of asylum procedure advice and support.,601.2,,41953,2025,41953_2025_1245,601.2,1,humanitarian
No more work permits outside of mandatory non-profit work opportunities for asylum applicants and rejected asylum seekers,No more work permits outside of mandatory non-profit work opportunities for asylum applicants and rejected asylum seekers,608.2,,41953,2025,41953_2025_1248,608.2,1,economic
Accommodation in central reception facilities for the duration of the asylum procedure,Accommodation in central reception facilities for the duration of the asylum procedure,601.2,,41953,2025,41953_2025_1249,601.2,1,humanitarian
We will streamline asylum procedures before the administrative courts within the bounds of the rule of law.,We will streamline asylum procedures before the administrative courts within the bounds of the rule of law.,601.2,,41953,2025,41953_2025_1250,601.2,1,humanitarian
International comparisons show that the material benefits for asylum seekers in Germany are too high.,International comparisons show that the material benefits for asylum seekers in Germany are too high.,601.2,,41953,2025,41953_2025_1253,601.2,1,humanitarian
"Rejected asylum seekers who are obliged to leave the country also cause costs in the double-digit billion range due to their stay, which must be borne by taxpayers and contributors.","Rejected asylum seekers who are obliged to leave the country also cause costs in the double-digit billion range due to their stay, which must be borne by taxpayers and contributors.",601.2,,41953,2025,41953_2025_1255,601.2,1,humanitarian
"Recognition of asylum currently leads to immediate equality in all social security systems, without any prior personal contribution.","Recognition of asylum currently leads to immediate equality in all social security systems, without any prior personal contribution.",505,,41953,2025,41953_2025_1256,505,1,cultural
"social benefits for asylum seekers should be provided as benefits in kind where possible, otherwise by means of a payment card if the provision of benefits in kind is not possible with reasonable effort.","social benefits for asylum seekers should be provided as benefits in kind where possible, otherwise by means of a payment card if the provision of benefits in kind is not possible with reasonable effort.",505,,41953,2025,41953_2025_1260,505,1,humanitarian
Reduction of benefits for asylum seekers in the event of rejection of work opportunities.,Reduction of benefits for asylum seekers in the event of rejection of work opportunities.,505,,41953,2025,41953_2025_1263,505,1,economic
GERMANY NEEDS A COMPREHENSIVE REPATRIATION OFFENSIVE,GERMANY NEEDS A COMPREHENSIVE REPATRIATION OFFENSIVE,H,,41953,2025,41953_2025_1264,H,1,security
Germany's repatriation failure is no longer acceptable.,Germany's repatriation failure is no longer acceptable.,601.2,,41953,2025,41953_2025_1265,601.2,1,security
This applies both to deportations to the country of origin and to Dublin returns to the EU country of first entry.,This applies both to deportations to the country of origin and to Dublin returns to the EU country of first entry.,601.2,,41953,2025,41953_2025_1266,601.2,1,security
and is an expression of the continued failure of state migration policy.,and is an expression of the continued failure of state migration policy.,601.2,,41953,2025,41953_2025_1268,601.2,1,security
"Return measures are undermined with the help of old and new regulations on the right to stay, thus perpetuating illegal residence.","Return measures are undermined with the help of old and new regulations on the right to stay, thus perpetuating illegal residence.",601.2,,41953,2025,41953_2025_1269,601.2,1,security
"This is also served by the frequently used instrument of toleration of persons obliged to leave the country, a practice by which these people receive a constantly extending residence permit, sometimes in the form of a chain toleration.","This is also served by the frequently used instrument of toleration of persons obliged to leave the country, a practice by which these people receive a constantly extending residence permit, sometimes in the form of a chain toleration.",601.2,,41953,2025,41953_2025_1270,601.2,1,humanitarian
"In principle, a tolerated stay is only a certificate of temporary suspension of deportation.","In principle, a tolerated stay is only a certificate of temporary suspension of deportation.",601.2,,41953,2025,41953_2025_1271,601.2,1,humanitarian
"Under no circumstances, however, should the granting of a tolerated stay permit justify permanent residence.","Under no circumstances, however, should the granting of a tolerated stay permit justify permanent residence.",601.2,,41953,2025,41953_2025_1272,601.2,1,humanitarian
"With the newly introduced so-called ""right of residence by opportunity"", tolerated persons who had been living in Germany for 5 years as of January 1, 2022 were even given the opportunity to obtain a residence permit within 18 months if they met the minimum requirements.","With the newly introduced so-called ""right of residence by opportunity"", tolerated persons who had been living in Germany for 5 years as of January 1, 2022 were even given the opportunity to obtain a residence permit within 18 months if they met the minimum requirements.",601.2,,41953,2025,41953_2025_1273,601.2,1,humanitarian
"In conclusion, it should be noted that the basic intention of the right of residence - to control and limit the influx of foreigners - has been reversed and downright perverted for years.","In conclusion, it should be noted that the basic intention of the right of residence - to control and limit the influx of foreigners - has been reversed and downright perverted for years.",601.2,,41953,2025,41953_2025_1274,601.2,1,security
"In the process, the entrenched stays of rejected asylum seekers fundamentally undermine the meaning of the actual idea of protection.","In the process, the entrenched stays of rejected asylum seekers fundamentally undermine the meaning of the actual idea of protection.",601.2,,41953,2025,41953_2025_1275,601.2,1,humanitarian
consistently deport people who are not entitled to stay and who are obliged to leave the country,consistently deport people who are not entitled to stay and who are obliged to leave the country,601.2,,41953,2025,41953_2025_1277,601.2,1,security
Consistent deportation of all persons obliged to leave the country in the sense of strict application of applicable law,Consistent deportation of all persons obliged to leave the country in the sense of strict application of applicable law,601.2,,41953,2025,41953_2025_1279,601.2,1,security
"Abolition of all right to stay regulations for persons obliged to leave the country, in particular also the training and employment toleration and the right to residence on the basis of opportunities","Abolition of all right to stay regulations for persons obliged to leave the country, in particular also the training and employment toleration and the right to residence on the basis of opportunities",601.2,,41953,2025,41953_2025_1280,601.2,1,economic
Replacement of the toleration by a certificate of the obligation to leave the country,Replacement of the toleration by a certificate of the obligation to leave the country,601.2,,41953,2025,41953_2025_1281,601.2,1,humanitarian
"Massive pressure on countries of origin that are not willing to accept return, e.g. B. through economic sanctions, suspension of development aid and the visa lever","Massive pressure on countries of origin that are not willing to accept return, e.g. B. through economic sanctions, suspension of development aid and the visa lever",601.2,,41953,2025,41953_2025_1282,601.2,1,security
Promotion of voluntary return,Promotion of voluntary return,601.2,,41953,2025,41953_2025_1283,601.2,1,humanitarian
Cancellation of humanitarian residence permits once the reason for flight no longer applies,Cancellation of humanitarian residence permits once the reason for flight no longer applies,601.2,,41953,2025,41953_2025_1284,601.2,1,humanitarian
"Immediate repatriation of foreign nationals at risk, Extremists and serious criminals either to their countries of origin or to third countries willing to accept them","Immediate repatriation of foreign nationals at risk, Extremists and serious criminals either to their countries of origin or to third countries willing to accept them",605.1,,41953,2025,41953_2025_1285,605.1,1,security
Consistent sanctioning of the prevention of deportation by NGOs,Consistent sanctioning of the prevention of deportation by NGOs,601.2,,41953,2025,41953_2025_1286,601.2,1,security
Expansion of detention and custody facilities near the border and at international airports Abolition,Expansion of detention and custody facilities near the border and at international airports Abolition,601.2,,41953,2025,41953_2025_1287,601.2,1,security
"of church asylum,","of church asylum,",601.2,,41953,2025,41953_2025_1288,601.2,1,humanitarian
termination of the church asylum agreement between the Federal Office for Migration and Refugees (BAMF) and the churches,termination of the church asylum agreement between the Federal Office for Migration and Refugees (BAMF) and the churches,601.2,,41953,2025,41953_2025_1289,601.2,1,humanitarian
"We will implement this change of course - following the Syria ruling by the OVG Münster in July 2024 (Urt. V. 16.07.2024, Az 14A 2847/19.a) and the fall of the Assad regime - explicitly also for the largest group of immigrants since 2014/15 - the Syrians.","We will implement this change of course - following the Syria ruling by the OVG Münster in July 2024 (Urt. V. 16.07.2024, Az 14A 2847/19.a) and the fall of the Assad regime - explicitly also for the largest group of immigrants since 2014/15 - the Syrians.",601.2,,41953,2025,41953_2025_1290,601.2,1,humanitarian
"Against this background, we will implement the following measures as part of a repatriation offensive:","Against this background, we will implement the following measures as part of a repatriation offensive:",601.2,,41953,2025,41953_2025_1292,601.2,1,security
"Initiation of the return of criminals, dangerous persons and all Syrian citizens no longer entitled to protection","Initiation of the return of criminals, dangerous persons and all Syrian citizens no longer entitled to protection",601.2,,41953,2025,41953_2025_1293,601.2,1,security
Initiation of revocation procedures for Syrians previously recognized as entitled to subsidiary protection Initiation,Initiation of revocation procedures for Syrians previously recognized as entitled to subsidiary protection Initiation,601.2,,41953,2025,41953_2025_1294,601.2,1,humanitarian
"of negotiations with the Syrian government, bilaterally and in association with EU member states, on the return of Syrian nationals","of negotiations with the Syrian government, bilaterally and in association with EU member states, on the return of Syrian nationals",601.2,,41953,2025,41953_2025_1295,601.2,1,security
Offensive promotion of voluntary return in conjunction with the expansion of federal programmes to promote voluntary return to Syria We will proceed in the same way for persons from other countries of origin of asylum if the conditions are met.,Offensive promotion of voluntary return in conjunction with the expansion of federal programmes to promote voluntary return to Syria We will proceed in the same way for persons from other countries of origin of asylum if the conditions are met.,601.2,,41953,2025,41953_2025_1296,601.2,1,humanitarian
"The guiding principles for any form of immigration must be the ability and willingness of migrants to integrate, as well as the integration possibilities of the host society and its state.","The guiding principles for any form of immigration must be the ability and willingness of migrants to integrate, as well as the integration possibilities of the host society and its state.",608.2,,41953,2025,41953_2025_1298,608.2,1,cultural
Traditional immigration countries such as Canada and Australia have long followed this principle.,Traditional immigration countries such as Canada and Australia have long followed this principle.,608.2,,41953,2025,41953_2025_1299,608.2,1,cultural
"Despite millions of migrants coming to Germany in recent years - around 15 million since 2010, many of them illegally and with illegal motives - politicians have ignored and suppressed the problems that have arisen and are arising as a result.","Despite millions of migrants coming to Germany in recent years - around 15 million since 2010, many of them illegally and with illegal motives - politicians have ignored and suppressed the problems that have arisen and are arising as a result.",601.2,,41953,2025,41953_2025_1300,601.2,1,security
The proportion of EU citizens in this immigration was around 40%.,The proportion of EU citizens in this immigration was around 40%.,601.2,,41953,2025,41953_2025_1301,601.2,1,economic
"After netting out immigration and emigration in the same period, there is still a population increase of around 5 million people.","After netting out immigration and emigration in the same period, there is still a population increase of around 5 million people.",601.2,,41953,2025,41953_2025_1302,601.2,1,economic
Integration was originally put forward by the so-called workers' associations to politicians as a demand for more acceptance and humanity for guest workers.,Integration was originally put forward by the so-called workers' associations to politicians as a demand for more acceptance and humanity for guest workers.,608.2,,41953,2025,41953_2025_1303,608.2,1,cultural
"Since then, however, numerous immigrants have successfully integrated into our country without politics having contributed much beyond the municipal level.","Since then, however, numerous immigrants have successfully integrated into our country without politics having contributed much beyond the municipal level.",608.2,,41953,2025,41953_2025_1304,608.2,1,cultural
A radical change in German migration policy is therefore required in order to prevent further damage to our country.,A radical change in German migration policy is therefore required in order to prevent further damage to our country.,601.2,,41953,2025,41953_2025_1310,601.2,1,security
The AfD therefore demands: The ability to integrate must be restored by strictly limiting immigration,The AfD therefore demands: The ability to integrate must be restored by strictly limiting immigration,608.2,,41953,2025,41953_2025_1311,608.2,1,security
No integration of unauthorized residents at any price,No integration of unauthorized residents at any price,608.2,,41953,2025,41953_2025_1312,608.2,1,security
Limitation of the asylum industry,Limitation of the asylum industry,601.2,,41953,2025,41953_2025_1313,601.2,1,economic
Active participation of all migrants in successful integration.,Active participation of all migrants in successful integration.,608.2,,41953,2025,41953_2025_1314,608.2,1,cultural
Costs for integration measures that have failed through the migrants' own fault (e.g. aborted language courses) must be reimbursed,Costs for integration measures that have failed through the migrants' own fault (e.g. aborted language courses) must be reimbursed,608.2,,41953,2025,41953_2025_1316,608.2,1,cultural
German citizenship must not be given away,German citizenship must not be given away,H,,41953,2025,41953_2025_1318,H,1,cultural
